N,seconds
400000,0.111770
401000,0.112017
402000,0.116089
403000,0.117766
404000,0.113542
405000,0.112954
406000,0.115172
407000,0.115994
408000,0.113526
409000,0.113445
410000,0.116613
411000,0.115127
412000,0.115802
413000,0.117288
414000,0.116230
415000,0.116985
416000,0.118960
417000,0.117914
418000,0.117578
419000,0.120704
420000,0.118511
421000,0.119456
422000,0.120075
423000,0.118042
424000,0.118066
425000,0.120881
426000,0.119395
427000,0.123148
428000,0.120032
429000,0.123125
430000,0.122501
431000,0.122738
432000,0.119399
433000,0.123540
434000,0.125170
435000,0.123422
436000,0.129582
437000,0.121604
438000,0.123195
439000,0.122368
440000,0.126529
441000,0.128691
442000,0.127265
443000,0.133279
444000,0.127478
445000,0.131118
446000,0.126001
447000,0.125061
448000,0.126473
449000,0.125372
450000,0.126049
451000,0.125033
452000,0.127211
453000,0.126009
454000,0.130226
455000,0.128212
456000,0.127671
457000,0.126969
458000,0.126889
459000,0.128601
460000,0.131768
461000,0.126728
462000,0.129494
463000,0.132565
464000,0.131450
465000,0.129067
466000,0.127835
467000,0.129338
468000,0.136333
469000,0.132475
470000,0.130987
471000,0.134480
472000,0.136925
473000,0.139297
474000,0.131980
475000,0.133475
476000,0.136667
477000,0.152689
478000,0.138624
479000,0.134279
480000,0.139903
481000,0.138084
482000,0.134269
483000,0.141426
484000,0.133742
485000,0.136284
486000,0.134941
487000,0.136086
488000,0.135058
489000,0.140735
490000,0.136772
491000,0.136551
492000,0.137027
493000,0.139588
494000,0.139683
495000,0.139179
496000,0.138325
497000,0.142718
498000,0.140376
499000,0.140826
500000,0.139942
