N,seconds
350000,0.177266
351000,0.179777
352000,0.193208
353000,0.195602
354000,0.185128
355000,0.180299
356000,0.183516
357000,0.196973
358000,0.181290
359000,0.183947
360000,0.200999
361000,0.202627
362000,0.201980
363000,0.184966
364000,0.184243
365000,0.181911
366000,0.194216
367000,0.185423
368000,0.193568
369000,0.195684
370000,0.188066
371000,0.193579
372000,0.191244
373000,0.196550
374000,0.192003
375000,0.195972
376000,0.200671
377000,0.232531
378000,0.206879
379000,0.195173
380000,0.200753
381000,0.201366
382000,0.196034
383000,0.213581
384000,0.238780
385000,0.207436
386000,0.202575
387000,0.195415
388000,0.201950
389000,0.211135
390000,0.200354
391000,0.230215
392000,0.240051
393000,0.232381
394000,0.254582
395000,0.238941
396000,0.234758
397000,0.230496
398000,0.214882
399000,0.212851
400000,0.218911
401000,0.214830
402000,0.209042
403000,0.205521
404000,0.214978
405000,0.220258
406000,0.215923
407000,0.219481
408000,0.225634
409000,0.216732
410000,0.228924
411000,0.222914
412000,0.213400
413000,0.214175
414000,0.220939
415000,0.217872
416000,0.235299
417000,0.215027
418000,0.229868
419000,0.228020
420000,0.223819
421000,0.232593
422000,0.223319
423000,0.224611
424000,0.230360
425000,0.229298
426000,0.424987
427000,0.238954
428000,0.238404
429000,0.228469
430000,0.226730
431000,0.233716
432000,0.237140
433000,0.221028
434000,0.229447
435000,0.225958
436000,0.232376
437000,0.227213
438000,0.239437
439000,0.230902
440000,0.243811
441000,0.241760
442000,0.242298
443000,0.246015
444000,0.248346
445000,0.227719
446000,0.235862
447000,0.245404
448000,0.266989
449000,0.236313
450000,0.234189
451000,0.238580
452000,0.239148
453000,0.241282
454000,0.236408
455000,0.279621
456000,0.246202
457000,0.262060
458000,0.249056
459000,0.363388
460000,0.264478
461000,0.248492
462000,0.248706
463000,0.251912
464000,0.270012
465000,0.249286
466000,0.251418
467000,0.281898
468000,0.250790
469000,0.281720
470000,0.248763
471000,0.253717
472000,0.252685
473000,0.253392
474000,0.255855
475000,0.254546
476000,0.270181
477000,0.248022
478000,0.253819
479000,0.244963
480000,0.287304
481000,0.258182
482000,0.271979
483000,0.262239
484000,0.263721
485000,0.269484
486000,0.266427
487000,0.258154
488000,0.263992
489000,0.264116
490000,0.265118
491000,0.273619
492000,0.307636
493000,0.295833
494000,0.282810
495000,0.267391
496000,0.267397
497000,0.277344
498000,0.271564
499000,0.266561
500000,0.273855
