N,seconds
400000,0.115604
401000,0.115057
402000,0.115138
403000,0.119238
404000,0.116069
405000,0.116341
406000,0.116084
407000,0.118822
408000,0.121048
409000,0.118249
410000,0.118389
411000,0.118027
412000,0.118672
413000,0.121400
414000,0.118998
415000,0.118530
416000,0.118416
417000,0.120743
418000,0.120076
419000,0.119983
420000,0.120204
421000,0.120648
422000,0.122736
423000,0.121527
424000,0.120935
425000,0.123582
426000,0.120961
427000,0.128199
428000,0.122458
429000,0.123048
430000,0.122613
431000,0.124039
432000,0.121586
433000,0.123643
434000,0.123472
435000,0.124921
436000,0.129799
437000,0.128430
438000,0.132932
439000,0.127326
440000,0.131628
441000,0.126581
442000,0.127592
443000,0.127885
444000,0.132110
445000,0.151838
446000,0.179767
447000,0.133573
448000,0.130643
449000,0.127944
450000,0.132409
451000,0.161142
452000,0.137776
453000,0.144172
454000,0.156781
455000,0.144685
456000,0.129583
457000,0.133583
458000,0.132946
459000,0.132289
460000,0.134162
461000,0.133629
462000,0.137305
463000,0.136863
464000,0.132454
465000,0.134205
466000,0.136623
467000,0.133873
468000,0.134362
469000,0.134068
470000,0.138537
471000,0.135048
472000,0.135613
473000,0.134662
474000,0.136605
475000,0.144568
476000,0.142427
477000,0.138818
478000,0.141416
479000,0.142662
480000,0.138122
481000,0.142012
482000,0.144645
483000,0.140556
484000,0.140310
485000,0.140695
486000,0.139527
487000,0.135763
488000,0.139494
489000,0.139279
490000,0.140104
491000,0.141305
492000,0.141450
493000,0.141730
494000,0.141612
495000,0.142512
496000,0.141548
497000,0.142820
498000,0.142398
499000,0.146815
500000,0.142028
